Well	Top	Base	Unit	Comment
1/2-1	94.00	0.00	NORDLAND GP	
1/2-1	1777.00	0.00	HORDALAND GP	
1/2-1	3059.00	0.00	ROGALAND GP	
1/2-1	3059.00	0.00	BALDER FM	
1/2-1	3121.00	0.00	FORTIES MB	Changed from FM to MB
1/2-1	3275.00	0.00	LISTA FM	
1/2-1	3335.00	0.00	MAUREEN MB	Changed from FM to MB
1/2-1	3407.00	0.00	SHETLAND GP	
1/2-1	3407.00	0.00	EKOFISK FM	
1/2-1	3514.00	0.00	TOR FM	
1/2-2	114.00	0.00	NORDLAND GP	
1/2-2	1675.00	0.00	HORDALAND GP	
1/2-2	3077.00	0.00	ROGALAND GP	
1/2-2	3077.00	0.00	BALDER FM	
1/2-2	3094.00	0.00	SELE FM	
1/2-2	3135.00	0.00	FORTIES MB	Changed from FM to MB
1/2-2	3296.00	0.00	LISTA FM	
1/2-2	3368.00	0.00	MAUREEN MB	Changed from FM to MB
1/2-2	3418.00	0.00	SHETLAND GP	
1/2-2	3418.00	0.00	EKOFISK FM	
1/3-1	97.00	0.00	NORDLAND GP	
1/3-1	2995.00	0.00	ROGALAND GP	
1/3-1	2995.00	0.00	BALDER FM	
1/3-1	3006.00	0.00	SELE FM	
1/3-1	3013.00	0.00	LISTA FM	
1/3-1	3095.00	0.00	VIDAR FM	
1/3-1	3209.00	0.00	VÅLE FM	
1/3-1	3258.00	0.00	SHETLAND GP	
1/3-1	3258.00	0.00	EKOFISK FM	
1/3-1	3354.00	0.00	TOR FM	
1/3-1	3828.00	0.00	HOD FM	
1/3-1	4343.00	0.00	BLODØKS FM	
1/3-1	4371.00	0.00	HIDRA FM	
1/3-1	4441.00	0.00	CROMER KNOLL GP	
1/3-1	4441.00	0.00	RØDBY FM	
1/3-1	4482.00	0.00	SOLA FM	
1/3-1	4671.00	0.00	ZECHSTEIN GP	
1/3-10	117.00	0.00	NORDLAND GP	
1/3-10	1685.00	0.00	HORDALAND GP	
1/3-10	3059.00	0.00	ROGALAND GP	
1/3-10	3059.00	0.00	BALDER FM	
1/3-10	3069.00	0.00	SELE FM	
1/3-10	3153.00	0.00	FORTIES FM	
1/3-10	3228.00	0.00	LISTA FM	
1/3-10 A	117.00	0.00	NORDLAND GP	
1/3-10 A	1685.00	0.00	HORDALAND GP	
1/3-10 A	3320.00	0.00	ROGALAND GP	
1/3-10 A	3320.00	0.00	BALDER FM	
1/3-10 A	3348.00	0.00	SELE FM	
1/3-10 A	3516.00	0.00	FORTIES FM	
1/3-2	98.00	0.00	NORDLAND GP	
1/3-2	1533.00	0.00	HORDALAND GP	
1/3-2	2964.00	0.00	ROGALAND GP	
1/3-2	2964.00	0.00	BALDER FM	
1/3-2	2978.00	0.00	SELE FM	
1/3-2	3067.00	0.00	LISTA FM	
1/3-2	3136.00	0.00	VÅLE FM	
1/3-2	3207.00	0.00	SHETLAND GP	
1/3-2	3207.00	0.00	EKOFISK FM	
1/3-2	3270.00	0.00	TOR FM	
1/3-2	3729.00	0.00	HOD FM	
1/3-2	4024.00	0.00	BLODØKS FM	
1/3-2	4060.00	0.00	HIDRA FM	
1/3-2	4131.00	0.00	CROMER KNOLL GP	
1/3-2	4131.00	0.00	RØDBY FM	
1/3-2	4229.00	0.00	SOLA FM	
1/3-3	93.00	0.00	NORDLAND GP	
1/3-3	1647.00	0.00	HORDALAND GP	
1/3-3	2936.00	0.00	ROGALAND GP	
1/3-3	2936.00	0.00	BALDER FM	
1/3-3	2984.00	0.00	SELE FM	
1/3-3	2991.00	0.00	LISTA FM	
1/3-3	3059.00	0.00	VIDAR FM	
1/3-3	3180.00	0.00	VÅLE FM	
1/3-3	3201.00	0.00	SHETLAND GP	
1/3-3	3201.00	0.00	EKOFISK FM	
1/3-3	3288.00	0.00	TOR FM	
1/3-3	3803.00	0.00	HOD FM	
1/3-3	3852.00	0.00	BLODØKS FM	
1/3-3	3887.00	0.00	CROMER KNOLL GP	
1/3-3	3887.00	0.00	RØDBY FM	
1/3-3	4043.00	0.00	TYNE GP	
1/3-3	4043.00	0.00	MANDAL FM	
1/3-3	4112.00	0.00	FARSUND FM	
1/3-3	4178.00	0.00	VESTLAND GP	
1/3-3	4178.00	0.00	ULA FM	
1/3-3	4542.00	0.00	BRYNE FM	
1/3-3	4620.00	0.00	SMITH BANK FM	
1/3-3	4820.00	0.00	ZECHSTEIN GP	
1/3-4	97.00	0.00	NORDLAND GP	
1/3-4	1580.00	0.00	HORDALAND GP	
1/3-4	2617.00	0.00	ROGALAND GP	
1/3-4	2617.00	0.00	BALDER FM	
1/3-4	2629.00	0.00	SELE FM	
1/3-4	2647.00	0.00	LISTA FM	
1/3-4	2676.00	0.00	VIDAR FM	
1/3-4	2724.00	0.00	VÅLE FM	
1/3-4	2754.00	0.00	SHETLAND GP	
1/3-4	2754.00	0.00	EKOFISK FM	
1/3-4	2797.00	0.00	TOR FM	
1/3-4	3123.00	0.00	HOD FM	
1/3-4	3160.00	0.00	ZECHSTEIN GP	
1/3-5	106.00	0.00	NORDLAND GP	
1/3-5	1075.00	0.00	HORDALAND GP	
1/3-5	3062.00	0.00	ROGALAND GP	
1/3-5	3062.00	0.00	BALDER FM	
1/3-5	3070.00	0.00	SELE FM	
1/3-5	3078.00	0.00	LISTA FM	
1/3-5	3153.00	0.00	VIDAR MB	Changed from FM to MB
1/3-5	3245.00	0.00	VÅLE FM	
1/3-5	3288.00	0.00	SHETLAND GP	
1/3-5	3288.00	0.00	EKOFISK FM	
1/3-5	3384.00	0.00	TOR FM	
1/3-5	3858.00	0.00	HOD FM	
1/3-5	4568.00	0.00	HIDRA FM	
1/3-5	4580.00	0.00	CROMER KNOLL GP	
1/3-5	4580.00	0.00	RØDBY FM	
1/3-5	4604.00	0.00	SOLA FM	
1/3-5	4625.00	0.00	ÅSGARD FM	
1/3-5	4734.00	0.00	ZECHSTEIN GP	
1/3-5	4769.00	0.00	ROTLIEGEND GP	
1/3-6	97.00	0.00	NORDLAND GP	
1/3-6	1600.00	0.00	HORDALAND GP	
1/3-6	2823.00	0.00	ROGALAND GP	
1/3-6	2823.00	0.00	BALDER FM	
1/3-6	2836.00	0.00	SELE FM	
1/3-6	2914.00	0.00	FORTIES MB	Changed from FM to MB
1/3-6	2999.00	0.00	VÅLE FM	
1/3-6	3103.00	0.00	SHETLAND GP	
1/3-6	3103.00	0.00	EKOFISK FM	
1/3-6	3201.00	0.00	TOR FM	
1/3-6	3530.00	0.00	HOD FM	
1/3-7	117.00	0.00	NORDLAND GP	
1/3-7	1655.00	0.00	HORDALAND GP	
1/3-7	3084.00	0.00	ROGALAND GP	
1/3-7	3084.00	0.00	BALDER FM	
1/3-7	3102.00	0.00	SELE FM	
1/3-7	3175.00	0.00	FORTIES FM	
1/3-7	3260.00	0.00	LISTA FM	
1/3-7	3315.00	0.00	VÅLE FM	
1/3-8	110.00	0.00	NORDLAND GP	
1/3-8	1902.00	0.00	HORDALAND GP	
1/3-8	3127.00	0.00	ROGALAND GP	
1/3-8	3127.00	0.00	BALDER FM	
1/3-8	3137.00	0.00	SELE FM	
1/3-8	3144.00	0.00	LISTA FM	
1/3-8	3202.00	0.00	VIDAR FM	
1/3-8	3352.00	0.00	VÅLE FM	
1/3-8	3377.00	0.00	SHETLAND GP	
1/3-8	3377.00	0.00	EKOFISK FM	
1/3-8	3478.00	0.00	TOR FM	
1/3-8	3949.00	0.00	HOD FM	
1/3-8	4379.00	0.00	BLODØKS FM	
1/3-8	4402.00	0.00	HIDRA FM	
1/3-8	4456.00	0.00	CROMER KNOLL GP	
1/3-8	4456.00	0.00	RØDBY FM	
1/3-8	4502.00	0.00	SOLA FM	
1/3-8	4556.00	0.00	TUXEN FM	
1/3-8	4685.00	0.00	ÅSGARD FM	
1/3-8	4733.00	0.00	TYNE GP	
1/3-8	4733.00	0.00	MANDAL FM	
1/3-8	4742.00	0.00	FARSUND FM	
1/3-8	5005.00	0.00	VESTLAND GP	
1/3-8	5005.00	0.00	ULA FM	
1/3-8	5086.00	0.00	SMITH BANK FM	
1/3-9 S	3103.00	0.00	ROGALAND GP	
1/3-9 S	3103.00	0.00	BALDER FM	
1/3-9 S	3125.00	0.00	SELE FM	
1/3-9 S	3155.00	0.00	LISTA FM	
1/3-9 S	3254.00	0.00	VIDAR FM	
1/3-9 S	3292.00	0.00	VÅLE FM	
1/3-9 S	3319.00	0.00	SHETLAND GP	
1/3-9 S	3319.00	0.00	EKOFISK FM	
1/3-9 S	3409.00	0.00	TOR FM	
1/3-9 S	3758.00	0.00	HOD FM	
1/3-9 S	3895.00	0.00	BLODØKS FM	
1/3-9 S	3898.00	0.00	HIDRA FM	
1/3-9 S	3900.00	0.00	CROMER KNOLL GP	
1/3-9 S	3900.00	0.00	RØDBY FM	
1/3-9 S	3933.00	0.00	SOLA FM	
1/3-9 S	3935.00	0.00	TUXEN FM	
1/3-9 S	3942.00	0.00	ÅSGARD FM	
1/3-9 S	4119.00	0.00	TYNE GP	
1/3-9 S	4119.00	0.00	MANDAL FM	
1/3-9 S	4135.00	0.00	FARSUND FM	
1/3-9 S	4266.00	0.00	VESTLAND GP	
1/3-9 S	4266.00	0.00	ULA FM	
1/5-1	97.00	0.00	NORDLAND GP	
1/5-2	97.00	0.00	NORDLAND GP	
1/5-2	1707.00	0.00	HORDALAND GP	
1/5-2	2831.00	0.00	ROGALAND GP	
1/5-2	2832.00	0.00	FORTIES FM	
1/5-2	2840.00	0.00	SELE FM	
1/5-2	2848.00	0.00	LISTA FM	
1/5-2	3033.00	0.00	MAUREEN FM	
1/5-2	3069.00	0.00	SHETLAND GP	
1/5-2	3069.00	0.00	EKOFISK FM	
1/5-2	3152.00	0.00	TOR FM	
1/5-2	3342.00	0.00	HOD FM	
1/5-2	3922.00	0.00	CROMER KNOLL GP	
1/5-2	4203.00	0.00	TYNE GP	
1/5-2	4228.00	0.00	ZECHSTEIN GP	
1/5-3 S	94.00	0.00	NORDLAND GP	
1/5-3 S	1309.00	0.00	HORDALAND GP	
1/5-4 S	93.00	0.00	NORDLAND GP	
1/5-4 S	1718.00	0.00	HORDALAND GP	
1/5-4 S	2903.00	0.00	ROGALAND GP	
1/5-4 S	2903.00	0.00	BALDER FM	
1/5-4 S	2935.00	0.00	SELE FM	
1/5-4 S	2942.00	0.00	LISTA FM	
1/5-4 S	2978.00	0.00	VÅLE FM	
1/5-4 S	2994.00	0.00	SHETLAND GP	
1/5-4 S	2994.00	0.00	EKOFISK FM	
1/5-4 S	3013.00	0.00	TOR FM	
1/5-4 S	3063.00	0.00	HOD FM	
1/5-4 S	3077.00	0.00	ZECHSTEIN GP	
1/6-1	102.00	0.00	NORDLAND GP	
1/6-1	1795.00	0.00	HORDALAND GP	
1/6-1	2942.00	0.00	ROGALAND GP	
1/6-1	2942.00	0.00	BALDER FM	
1/6-1	2953.00	0.00	SELE FM	
1/6-1	2995.00	0.00	LISTA FM	
1/6-1	3106.00	0.00	VÅLE FM	
1/6-1	3144.00	0.00	SHETLAND GP	
1/6-1	3144.00	0.00	EKOFISK FM	
1/6-1	3247.00	0.00	TOR FM	
1/6-1	3566.00	0.00	HOD FM	
1/6-1	4144.00	0.00	CROMER KNOLL GP	
1/6-1	4800.00	0.00	ZECHSTEIN GP	
1/6-3	103.00	0.00	NORDLAND GP	
1/6-3	1792.00	0.00	HORDALAND GP	
1/6-3	2907.00	0.00	ROGALAND GP	
1/6-3	2907.00	0.00	BALDER FM	
1/6-3	2916.00	0.00	SELE FM	
1/6-3	2947.00	0.00	LISTA FM	
1/6-3	3110.00	0.00	SHETLAND GP	
1/6-3	3110.00	0.00	EKOFISK FM	
1/6-3	3229.00	0.00	TOR FM	
1/6-6	95.00	0.00	NORDLAND GP	
1/6-6	1835.00	0.00	HORDALAND GP	
1/6-6	3108.00	0.00	ROGALAND GP	
1/6-6	3108.00	0.00	BALDER FM	
1/6-6	3118.00	0.00	SELE FM	
1/6-6	3121.00	0.00	LISTA FM	
1/6-6	3306.00	0.00	SHETLAND GP	
1/6-6	3306.00	0.00	EKOFISK FM	
1/6-6	3413.00	0.00	TOR FM	
1/6-6	3809.00	0.00	HOD FM	
1/6-6	4651.00	0.00	CROMER KNOLL GP	
1/6-6	4651.00	0.00	RØDBY FM	
1/6-6	4689.00	0.00	SOLA FM	
1/6-6	4694.00	0.00	TUXEN FM	
1/6-6	4746.00	0.00	ÅSGARD FM	
1/6-6	4846.00	0.00	TYNE GP	
1/6-6	4846.00	0.00	MANDAL FM	
1/6-6	4876.00	0.00	FARSUND FM	
1/6-6	5305.00	0.00	HAUGESUND FM	
1/6-6	5457.00	0.00	SMITH BANK FM	
1/9-3	111.00	0.00	NORDLAND GP	
1/9-3	1150.00	0.00	HORDALAND GP	
1/9-3 R	111.00	0.00	NORDLAND GP	
1/9-3 R	1150.00	0.00	HORDALAND GP	
1/9-3 R	2866.00	0.00	ROGALAND GP	
1/9-3 R	2866.00	0.00	BALDER FM	
1/9-3 R	2905.00	0.00	SELE FM	
1/9-3 R	2943.00	0.00	LISTA FM	
1/9-3 R	3021.00	0.00	MAUREEN MB	Changed from FM to MB
1/9-3 R	3081.00	0.00	SHETLAND GP	
1/9-3 R	3081.00	0.00	EKOFISK FM	
1/9-3 R	3157.00	0.00	TOR FM	
1/9-3 R	3395.00	0.00	HOD FM	
1/9-3 R	3651.00	0.00	BLODØKS FM	
1/9-3 R	3683.00	0.00	HIDRA FM	
1/9-3 R	3790.00	0.00	CROMER KNOLL GP	
1/9-3 R	3790.00	0.00	RØDBY FM	
1/9-3 R	4265.00	0.00	TYNE GP	
1/9-3 R	4265.00	0.00	MANDAL FM	
1/9-3 R	4319.00	0.00	FARSUND FM	
1/9-3 R	4360.00	0.00	ELDFISK MB	Changed from FM to MB
1/9-3 R	4387.00	0.00	HAUGESUND FM	
1/9-4	100.00	0.00	NORDLAND GP	
1/9-4	1025.00	0.00	HORDALAND GP	
1/9-4	2941.00	0.00	ROGALAND GP	
1/9-4	2941.00	0.00	BALDER FM	
1/9-4	2960.00	0.00	SELE FM	
1/9-4	3021.00	0.00	LISTA FM	
1/9-4	3091.00	0.00	VÅLE FM	
1/9-4	3114.00	0.00	SHETLAND GP	
1/9-4	3114.00	0.00	EKOFISK FM	
1/9-4	3212.00	0.00	TOR FM	
1/9-4	3312.00	0.00	HOD FM	
1/9-4	3450.00	0.00	BLODØKS FM	
1/9-4	3494.00	0.00	HIDRA FM	
1/9-4	3646.00	0.00	CROMER KNOLL GP	
1/9-4	3646.00	0.00	RØDBY FM	
1/9-4	3665.00	0.00	ÅSGARD FM	
1/9-4	3690.00	0.00	ZECHSTEIN GP	
1/9-4 R	100.00	0.00	NORDLAND GP	
1/9-4 R	1025.00	0.00	HORDALAND GP	
1/9-4 R	2941.00	0.00	ROGALAND GP	
1/9-4 R	2941.00	0.00	BALDER FM	
1/9-4 R	2960.00	0.00	SELE FM	
1/9-4 R	3021.00	0.00	LISTA FM	
1/9-4 R	3091.00	0.00	VÅLE FM	
1/9-4 R	3114.00	0.00	SHETLAND GP	
1/9-4 R	3114.00	0.00	EKOFISK FM	
1/9-4 R	3212.00	0.00	TOR FM	
1/9-4 R	3312.00	0.00	HOD FM	
1/9-4 R	3450.00	0.00	BLODØKS FM	
1/9-4 R	3494.00	0.00	HIDRA FM	
1/9-4 R	3646.00	0.00	CROMER KNOLL GP	
1/9-4 R	3646.00	0.00	RØDBY FM	
1/9-4 R	3665.00	0.00	ÅSGARD FM	
1/9-4 R	3690.00	0.00	ZECHSTEIN GP	
10/5-1	122.00	0.00	NORDLAND GP	
10/5-1	190.00	0.00	HORDALAND GP	
10/5-1	270.00	0.00	ROGALAND GP	
10/5-1	270.00	0.00	BALDER FM	
10/5-1	290.00	0.00	LISTA FM	
10/5-1	327.00	0.00	VÅLE FM	
10/5-1	335.00	0.00	SHETLAND GP	
10/5-1	335.00	0.00	EKOFISK FM	
10/5-1	428.00	0.00	TOR FM	
10/5-1	535.00	0.00	HOD FM	
10/5-1	1025.00	0.00	BLODØKS FM	
10/5-1	1040.00	0.00	HIDRA FM	
10/5-1	1046.00	0.00	CROMER KNOLL GP	
10/5-1	1046.00	0.00	RØDBY FM	
10/5-1	1093.00	0.00	SOLA FM	
10/5-1	1139.00	0.00	ÅSGARD FM	
10/5-1	1275.00	0.00	BOKNFJORD GP	
10/5-1	1275.00	0.00	FLEKKEFJORD FM	
10/5-1	1335.00	0.00	SAUDA FM	
10/5-1	1472.00	0.00	VESTLAND GP	
10/5-1	1472.00	0.00	SANDNES MB	Changed from FM to MB
10/5-1	1490.00	0.00	BRYNE MB	Changed from FM to MB
10/5-1	1524.00	0.00	GASSUM FM	
10/5-1	1539.00	0.00	SKAGERRAK FM	
10/5-1	1561.00	0.00	SMITH BANK FM	
10/5-1	1597.00	0.00	ZECHSTEIN GP	
10/7-1	110.00	0.00	NORDLAND GP	
10/7-1	451.00	0.00	HORDALAND GP	
10/7-1	652.00	0.00	ROGALAND GP	
10/7-1	652.00	0.00	BALDER FM	
10/7-1	673.00	0.00	FISKEBANK MB	Changed from FM to MB
10/7-1	720.00	0.00	LISTA FM	
10/7-1	781.00	0.00	SHETLAND GP	
10/7-1	1022.00	0.00	CROMER KNOLL GP	
10/7-1	1298.00	0.00	BOKNFJORD GP	
10/7-1	1298.00	0.00	FLEKKEFJORD FM	
10/7-1	1386.00	0.00	SAUDA FM	
10/7-1	1486.00	0.00	TAU FM	
10/7-1	1539.00	0.00	VESTLAND GP	
10/7-1	1539.00	0.00	SANDNES MB	Changed from FM to MB
10/7-1	1632.00	0.00	BRYNE MB	Changed from FM to MB
10/7-1	1836.00	0.00	ZECHSTEIN GP	
10/8-1	105.00	0.00	NORDLAND GP	
10/8-1	220.00	0.00	HORDALAND GP	
10/8-1	516.00	0.00	ROGALAND GP	
10/8-1	516.00	0.00	BALDER FM	
10/8-1	527.00	0.00	SELE FM	
10/8-1	542.00	0.00	FISKEBANK MB	Changed from FM to MB
10/8-1	569.00	0.00	LISTA FM	
10/8-1	621.00	0.00	VÅLE FM	
10/8-1	656.00	0.00	SHETLAND GP	
10/8-1	656.00	0.00	EKOFISK FM	
10/8-1	748.00	0.00	TOR FM	
10/8-1	1021.00	0.00	HOD FM	
10/8-1	1153.00	0.00	BLODØKS FM	
10/8-1	1157.00	0.00	HIDRA FM	
10/8-1	1183.00	0.00	CROMER KNOLL GP	
10/8-1	1183.00	0.00	RØDBY FM	
10/8-1	1201.00	0.00	SOLA FM	
10/8-1	1326.00	0.00	ÅSGARD FM	
10/8-1	1367.00	0.00	BOKNFJORD GP	
10/8-1	1367.00	0.00	FLEKKEFJORD FM	
10/8-1	1393.00	0.00	SAUDA FM	
10/8-1	1451.00	0.00	TAU FM	
10/8-1	1464.00	0.00	EGERSUND FM	
10/8-1	1494.00	0.00	GASSUM FM	
10/8-1	1567.00	0.00	HEGRE GP	
10/8-1	1567.00	0.00	SKAGERRAK FM	
10/8-1	2749.00	0.00	SMITH BANK FM	
10/8-1	2825.00	0.00	ZECHSTEIN GP	
11/10-1	90.00	0.00	NORDLAND GP	
11/10-1	430.00	0.00	HORDALAND GP	
11/10-1	1023.00	0.00	ROGALAND GP	
11/10-1	1023.00	0.00	BALDER FM	
11/10-1	1039.00	0.00	SELE FM	
11/10-1	1043.00	0.00	LISTA FM	
11/10-1	1045.00	0.00	VÅLE FM	
11/10-1	1048.00	0.00	SHETLAND GP	
11/10-1	1048.00	0.00	EKOFISK FM	
11/10-1	1110.00	0.00	TOR FM	
11/10-1	1356.00	0.00	HOD FM	
11/10-1	1455.00	0.00	BLODØKS FM	
11/10-1	1493.00	0.00	CROMER KNOLL GP	
11/10-1	1493.00	0.00	RØDBY FM	
11/10-1	1510.00	0.00	ÅSGARD FM	
11/10-1	1655.00	0.00	BOKNFJORD GP	
11/10-1	1655.00	0.00	FLEKKEFJORD FM	
11/10-1	1672.00	0.00	SAUDA FM	
11/10-1	1860.00	0.00	GASSUM FM	
11/10-1	1900.00	0.00	HEGRE GP	
11/10-1	1900.00	0.00	SKAGERRAK FM	
11/5-1	199.00	0.00	NORDLAND GP	
11/5-1	355.00	0.00	SHETLAND GP	
11/5-1	382.00	0.00	CROMER KNOLL GP	
11/5-1	420.00	0.00	SOLA FM	
11/5-1	717.00	0.00	ÅSGARD FM	
11/5-1	1086.00	0.00	BOKNFJORD GP	
11/5-1	1086.00	0.00	SAUDA FM	
11/5-1	1107.00	0.00	TAU FM	
11/5-1	1141.00	0.00	EGERSUND FM	
11/5-1	1276.00	0.00	VESTLAND GP	
11/5-1	1276.00	0.00	SANDNES MB	Changed from FM to MB
11/5-1	1322.00	0.00	ROTLIEGEND GP	
11/9-1	145.00	0.00	SKAGERRAK FM	
11/9-1	644.00	0.00	SMITH BANK FM	
11/9-1	1930.00	0.00	ZECHSTEIN GP	
15/12-1	119.00	0.00	NORDLAND GP	
15/12-1	955.00	0.00	UTSIRA FM	
15/12-1	1277.00	0.00	HORDALAND GP	
15/12-1	2256.00	0.00	GRID MB	Changed from FM to MB
15/12-1	2395.00	0.00	ROGALAND GP	
15/12-1	2395.00	0.00	BALDER FM	
15/12-1	2425.00	0.00	SELE FM	
15/12-1	2490.00	0.00	LISTA FM	
15/12-1	2634.00	0.00	MAUREEN MB	Changed from FM to MB
15/12-1	2643.00	0.00	SHETLAND GP	
15/12-1	2643.00	0.00	EKOFISK FM	
15/12-1	2738.00	0.00	TOR FM	
15/12-1	2884.00	0.00	HOD FM	
15/12-1	2954.00	0.00	BLODØKS FM	
15/12-1	2961.00	0.00	SVARTE FM	
15/12-1	2992.00	0.00	CROMER KNOLL GP	
15/12-1	2992.00	0.00	RØDBY FM	
15/12-1	3006.00	0.00	VIKING GP	
15/12-1	3006.00	0.00	DRAUPNE FM	
15/12-1	3027.00	0.00	HEATHER FM	
15/12-1	3123.00	0.00	VESTLAND GP	
15/12-1	3123.00	0.00	HUGIN MB	Changed from FM to MB
15/12-1	3152.00	0.00	SLEIPNER MB	Changed from FM to MB
15/12-1	3208.00	0.00	HEGRE GP	
15/12-1	3208.00	0.00	SKAGERRAK FM	
15/12-10 S	107.00	0.00	NORDLAND GP	
15/12-10 S	1096.00	0.00	UTSIRA FM	
15/12-10 S	1408.00	0.00	HORDALAND GP	
15/12-10 S	2550.00	0.00	ROGALAND GP	
15/12-10 S	2550.00	0.00	BALDER FM	
15/12-10 S	2559.00	0.00	SELE FM	
15/12-10 S	2607.00	0.00	LISTA FM	
15/12-10 S	2766.00	0.00	SHETLAND GP	
15/12-10 S	2766.00	0.00	TOR FM	
15/12-10 S	2850.00	0.00	HOD FM	
15/12-10 S	3097.00	0.00	BLODØKS FM	
15/12-10 S	3107.00	0.00	SVARTE FM	
15/12-10 S	3204.00	0.00	CROMER KNOLL GP	
15/12-10 S	3204.00	0.00	RØDBY FM	
15/12-10 S	3224.00	0.00	ÅSGARD FM	
15/12-10 S	3261.00	0.00	VIKING GP	
15/12-10 S	3261.00	0.00	HEATHER FM	
15/12-10 S	3420.00	0.00	VESTLAND GP	
15/12-10 S	3420.00	0.00	SLEIPNER MB	Changed from FM to MB
15/12-10 S	3429.00	0.00	HEGRE GP	
15/12-10 S	3429.00	0.00	SKAGERRAK FM	
15/12-11 S	122.00	0.00	NORDLAND GP	
15/12-11 S	967.00	0.00	UTSIRA FM	
15/12-11 S	1323.00	0.00	HORDALAND GP	
15/12-11 S	2270.00	0.00	GRID MB	Changed from FM to MB
15/12-11 S	2530.00	0.00	ROGALAND GP	
15/12-11 S	2530.00	0.00	BALDER FM	
15/12-11 S	2572.00	0.00	SELE FM	
15/12-11 S	2612.00	0.00	LISTA FM	
15/12-11 S	2680.00	0.00	HEIMDAL MB	Changed from FM to MB
15/12-11 S	2813.00	0.00	MAUREEN MB	Changed from FM to MB
15/12-11 S	2825.00	0.00	VÅLE FM	
15/12-11 S	2840.00	0.00	SHETLAND GP	
15/12-11 S	2840.00	0.00	EKOFISK FM	
15/12-11 S	2856.00	0.00	TOR FM	
15/12-11 S	2922.00	0.00	HOD FM	
15/12-11 S	3128.00	0.00	BLODØKS FM	
15/12-11 S	3146.00	0.00	SVARTE FM	
15/12-11 S	3221.00	0.00	CROMER KNOLL GP	
15/12-11 S	3221.00	0.00	RØDBY FM	
15/12-11 S	3234.00	0.00	ÅSGARD FM	
15/12-11 S	3241.00	0.00	VIKING GP	
15/12-11 S	3241.00	0.00	DRAUPNE FM	
15/12-11 S	3322.00	0.00	HEATHER FM	
15/12-11 S	3395.00	0.00	VESTLAND GP	
15/12-11 S	3395.00	0.00	HUGIN MB	Changed from FM to MB
15/12-11 S	3419.00	0.00	SLEIPNER MB	Changed from FM to MB
15/12-11 S	3544.00	0.00	HEGRE GP	
15/12-11 S	3544.00	0.00	SKAGERRAK FM	
15/12-12	113.00	0.00	NORDLAND GP	
15/12-12	1245.00	0.00	HORDALAND GP	
15/12-12	2238.00	0.00	ROGALAND GP	
15/12-12	2238.00	0.00	BALDER FM	
15/12-12	2252.00	0.00	SELE FM	
15/12-12	2312.00	0.00	LISTA FM	
15/12-12	2420.00	0.00	VÅLE FM	
15/12-12	2445.00	0.00	SHETLAND GP	
15/12-12	2450.00	0.00	TOR FM	
15/12-12	2558.00	0.00	HOD FM	
15/12-12	2651.00	0.00	BLODØKS FM	
15/12-12	2675.00	0.00	HIDRA FM	
15/12-12	2711.00	0.00	CROMER KNOLL GP	
15/12-12	2711.00	0.00	RØDBY FM	
15/12-12	2733.00	0.00	SOLA FM	
15/12-12	2793.00	0.00	VIKING GP	
15/12-12	2793.00	0.00	DRAUPNE FM	
15/12-12	2856.00	0.00	HEATHER FM	
15/12-12	2977.00	0.00	HEGRE GP	
15/12-12	2977.00	0.00	SKAGERRAK FM	
15/12-13	105.00	0.00	NORDLAND GP	
15/12-13	1225.00	0.00	UTSIRA FM	
15/12-13	1240.00	0.00	HORDALAND GP	
15/12-13	2286.00	0.00	ROGALAND GP	
15/12-13	2286.00	0.00	BALDER FM	
15/12-13	2297.00	0.00	SELE FM	
15/12-13	2370.00	0.00	LISTA FM	
15/12-13	2453.00	0.00	SHETLAND GP	
15/12-13	2723.00	0.00	CROMER KNOLL GP	
15/12-13	2856.00	0.00	VIKING GP	
15/12-13	2856.00	0.00	DRAUPNE FM	
15/12-13	2944.00	0.00	HEATHER FM	
15/12-13	3030.00	0.00	VESTLAND GP	
15/12-13	3030.00	0.00	HUGIN MB	Changed from FM to MB
15/12-13 A	105.00	0.00	NORDLAND GP	
15/12-13 A	1225.00	0.00	UTSIRA FM	
15/12-13 A	1240.00	0.00	HORDALAND GP	
15/12-13 A	2452.00	0.00	ROGALAND GP	
15/12-13 A	2452.00	0.00	BALDER FM	
15/12-13 A	2468.00	0.00	SELE FM	
15/12-13 B	105.00	0.00	NORDLAND GP	
15/12-13 B	1225.00	0.00	UTSIRA FM	
15/12-13 B	1240.00	0.00	HORDALAND GP	
15/12-13 B	2277.00	0.00	ROGALAND GP	
15/12-13 B	2277.00	0.00	BALDER FM	
15/12-13 B	2285.00	0.00	SELE FM	
15/12-13 B	2344.00	0.00	LISTA FM	
15/12-13 B	2520.00	0.00	SHETLAND GP	
15/12-13 B	2756.00	0.00	CROMER KNOLL GP	
15/12-13 B	2877.00	0.00	VIKING GP	
15/12-13 B	2877.00	0.00	DRAUPNE FM	
15/12-13 B	2939.00	0.00	HEATHER FM	
15/12-13 B	2963.00	0.00	VESTLAND GP	
15/12-13 B	2963.00	0.00	HUGIN MB	Changed from FM to MB
15/12-13 B	3092.00	0.00	SKAGERRAK FM	
15/12-13 B	3092.00	0.00	HEGRE GP	
15/12-13 B	3092.00	0.00	SLEIPNER MB	Changed from FM to MB
15/12-14	136.00	0.00	NORDLAND GP	
15/12-14	1325.00	0.00	HORDALAND GP	
