Name,Alternate 1,UWI number,Quadrant,Block,Operator,Licence number,Intent,Intent - planned,Well status,Well content,Status,Content - planned,Type,Subsea,SPUD date,Completion date,Field,Predrilled entry date,Predrilled completion date,Drill permit,Discovery name,Discovery wellbore,KBE,Final vertical depth (TVD) [m RKB],Terminal depth,Water depth,Kick off point [m RKB],Location,Country,Facility,Drilling facility type,Drilling facility category,Licensing activity awarded in,Production facility,Multilateral,Entry year,Completed year,Reclassified from/to wellbore,Plot symbol,Geodatum,Latitude,Longitude,Surface Y,Surface X,UTM zone,Grid system,DISKOS Well Type,DISKOS Wellbore Parent,NPDID wellbore,NPDID discovery,NPDID field,Publication date,Release date,NPDID production licence drilled in,NPDID drilling facility,NPDID production facility,NPDID wellbore reclassified from,Date main level updated,Date all updated,Date sync NPD
34/10-B-15 A,34/10-B-15,4700,34,10,Statoil ASA (old),050 ,PRODUCTION,PRODUCTION,CLOSED,OIL,Closed Oil,OIL,DEVELOPMENT, NO,2003-03-22 00:00:00.000,2003-04-15 00:00:00.000,GULLFAKS,,,2253-P,34/10-1 Gullfaks,NO,81.0,1899.0,2838.0,142.0,2206.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,2003,2003,,,ED50,61.203069,2.201375,6785829.93,457080.31,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-15                              ,4700,44594,43686,,2005-04-15 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
34/10-B-16,34/10-B-16,1709,34,10,Den norske stats oljeselskap a.s,050 ,INJECTION,INJECTION,PLUGGED,WATER,Plugged Water,WATER,DEVELOPMENT, NO,1991-04-27 00:00:00.000,1991-06-07 00:00:00.000,GULLFAKS,,,646-P,34/10-1 Gullfaks,NO,81.0,2438.0,3848.0,144.0,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1991,1991,,,ED50,61.202775,2.201625,6785796.97,457093.34,31,ED50 / UTM zone 31N,initial             ,                                        ,1709,44594,43686,,1993-06-07 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-16 A,34/10-B-16,7863,34,10,Statoil Petroleum AS,050 ,INJECTION,INJECTION,INJECTING,WATER,Injecting Water,WATER,DEVELOPMENT, NO,2016-02-20 00:00:00.000,2016-04-13 00:00:00.000,GULLFAKS,,,3994-P,34/10-1 Gullfaks,NO,80.7,2214.0,4015.0,142.5,1166.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,2016,2016,,,ED50,61.202775,2.201625,6785796.97,457093.34,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-16                              ,7863,44594,43686,,2018-04-13 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,,09.02.2020
34/10-B-17,34/10-B-17,1793,34,10,Den norske stats oljeselskap a.s,050 ,PRODUCTION,PRODUCTION,PLUGGED,OIL,Plugged Oil,OIL,DEVELOPMENT, NO,1991-07-04 00:00:00.000,1991-08-08 00:00:00.000,GULLFAKS,,,656-P,34/10-1 Gullfaks,NO,81.0,2048.0,2590.0,144.0,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1991,1991,,,ED50,61.203083,2.201247,6785831.56,457073.46,31,ED50 / UTM zone 31N,initial             ,                                        ,1793,44594,43686,,1993-08-08 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-17 A,34/10-B-17,5437,34,10,Statoil ASA (old),050 ,PRODUCTION,PRODUCTION,CLOSED,OIL,Closed Oil,OIL,DEVELOPMENT, NO,2006-11-14 00:00:00.000,2006-12-18 00:00:00.000,GULLFAKS,,,2779-P,34/10-1 Gullfaks,NO,80.7,1937.0,2865.0,142.9,2134.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,2006,2006,,,ED50,61.203083,2.201247,6785831.56,457073.46,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-17                              ,5437,44594,43686,,2008-12-18 00:00:00.000,21188,271917,271917.0,0,2020-01-22 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
34/10-B-18,34/10-B-18,1710,34,10,Den norske stats oljeselskap a.s,050 ,INJECTION,INJECTION,CLOSED,WATER,Closed Water,WATER,DEVELOPMENT, NO,1991-08-13 00:00:00.000,1991-10-18 00:00:00.000,GULLFAKS,,,666-P,34/10-1 Gullfaks,NO,81.0,2280.0,4570.0,144.0,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1991,1991,,,ED50,61.203139,2.201344,6785837.69,457078.76,31,ED50 / UTM zone 31N,initial             ,                                        ,1710,44594,43686,,1993-10-18 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-19,34/10-B-19,1862,34,10,Den norske stats oljeselskap a.s,050 ,PRODUCTION,PRODUCTION,PLUGGED,OIL,Plugged Oil,OIL,DEVELOPMENT, NO,1991-11-22 00:00:00.000,1992-01-06 00:00:00.000,GULLFAKS,,,677-P,34/10-1 Gullfaks,NO,81.0,1949.0,2960.0,144.0,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1991,1992,,,ED50,61.202803,2.201808,6785799.95,457103.23,31,ED50 / UTM zone 31N,initial             ,                                        ,1862,44594,43686,,1994-01-06 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-19 A,34/10-B-19,1944,34,10,Den norske stats oljeselskap a.s,050 ,PRODUCTION,PRODUCTION,PRODUCING,OIL,Producing Oil,OIL,DEVELOPMENT, NO,1992-04-19 00:00:00.000,1992-05-02 00:00:00.000,GULLFAKS,,,708-P,34/10-1 Gullfaks,NO,81.0,2061.0,3061.0,144.0,2521.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1992,1992,,,ED50,61.202803,2.201808,6785799.95,457103.23,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-19                              ,1944,44594,43686,,1994-05-02 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-20,34/10-B-20,1871,34,10,Den norske stats oljeselskap a.s,050 ,PRODUCTION,PRODUCTION,PLUGGED,OIL,Plugged Oil,OIL,DEVELOPMENT, NO,1992-01-09 00:00:00.000,1992-02-10 00:00:00.000,GULLFAKS,,,693-P,34/10-1 Gullfaks,NO,81.0,2044.0,3425.0,142.5,,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,1992,1992,,,ED50,61.203131,2.201408,6785836.72,457082.18,31,ED50 / UTM zone 31N,initial             ,                                        ,1871,44594,43686,,1994-02-10 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2019-03-09 00:00:00.000,09.02.2020
34/10-B-20 A,34/10-B-20,5030,34,10,Statoil ASA (old),050 ,INJECTION,INJECTION,INJECTING,WATER,Injecting Water,WATER,DEVELOPMENT, NO,2007-02-13 00:00:00.000,2007-04-02 00:00:00.000,GULLFAKS,,,2499-P,34/10-1 Gullfaks,NO,81.0,2141.0,5125.0,142.5,2531.0,NORTH SEA,NORWAY,GULLFAKS B,CONDEEP 4 SHAFTS,FIXED,Awarded additionally to round 3,GULLFAKS B,NO,2007,2007,,,ED50,61.203131,2.201408,6785836.72,457082.18,31,ED50 / UTM zone 31N,sidetrack           ,34/10-B-20                              ,5030,44594,43686,,2009-04-02 00:00:00.000,21188,271917,271917.0,0,2019-12-09 00:00:00.000,2015-10-06 00:00:00.000,09.02.2020
