Well,Test number,Top depth,Base depth,Choke size [mm],Final shut-in pressure [MPa],Final flow pressure [MPa],Bottom hole pressure [MPa],Oil [Sm3/day],Gas [Sm3/day],Oil density [g/cm3],Gas grav. rel.air,GOR [m3/m3],Downhole temperature [°C]
15/12-8,1.0,2838.0,2869.0,15.9,0.0,0.0,0.0,420,550000,0.0,0.817,1308,123
15/12-9 S,1.0,3545.0,0.0,19.0,0.0,2.0,0.0,0,0,0.0,0.0,0,0
15/12-9 S,2.0,3385.0,0.0,20.6,0.0,100.0,0.0,1520,0,0.852,0.751,87,0
15/3-3,1.0,4967.0,4990.0,18.7,0.0,0.0,0.0,0,0,0.0,0.0,0,0
15/3-3,2.0,4615.0,4615.0,12.7,0.0,0.0,0.0,0,520000,0.0,0.0,8600,0
15/3-4,1.0,3789.0,3807.0,15.8,0.0,0.0,0.0,615,245000,0.816,0.803,399,0
15/3-8,1.0,4141.0,4183.0,12.7,3.5,0.0,7.0,733,0,0.0,0.0,473,133
15/3-8,2.0,4073.0,4087.0,11.0,4.0,0.0,7.5,670,0,0.0,0.0,500,130
15/5-1,1.0,3610.0,3614.0,4.8,0.0,0.0,0.0,18,33700,0.81,0.0,1861,0
15/5-1,2.0,3561.0,3584.0,19.0,0.0,0.0,0.0,474,622900,0.8,0.0,1320,0
15/5-4,1.0,2124.0,2136.0,25.4,0.0,0.0,0.0,0,0,0.0,0.0,0,68
15/5-5,1.0,2154.0,2183.0,23.8,0.0,0.0,18.0,575,36000,0.864,0.868,63,79
15/6-11 A,1.0,4148.0,4180.0,12.7,0.0,0.0,22.0,120,220000,0.0,0.0,0,118
15/6-3,1.0,3514.0,3520.0,12.5,0.0,0.0,0.0,165,974099,0.817,0.0,5903,0
15/6-6,1.0,3568.0,3578.0,22.2,0.0,0.0,0.0,278,835000,0.793,0.762,3003,0
15/8-1,1.0,4079.0,4085.0,19.1,0.0,0.0,0.0,316,427000,0.754,0.851,1351,0
15/8-1,2.0,3911.0,3926.0,16.7,0.0,0.0,0.0,399,486000,0.811,0.944,1218,0
15/8-1,3.0,3688.0,3697.0,22.2,0.0,0.0,0.0,408,657000,0.846,0.84,1610,0
15/8-1,4.0,3543.0,3653.0,22.2,0.0,0.0,0.0,290,550000,0.799,0.832,1897,0
15/9-1,1.0,3655.0,3660.0,19.0,0.0,0.0,0.0,211,40210,0.89,0.738,191,0
15/9-1,2.0,3602.0,3607.0,25.0,0.0,0.0,0.0,129,736242,0.78,0.703,5700,0
15/9-11,1.0,2797.0,2807.0,16.7,0.0,0.0,0.0,238,517000,0.75,0.73,2172,0
15/9-11,2.0,2432.0,2440.0,12.7,0.0,0.0,0.0,104,234000,0.75,0.72,2248,0
15/9-11,3.0,2395.0,2415.0,19.0,0.0,0.0,0.0,266,570000,0.75,0.734,2142,0
15/9-12,1.0,3585.0,3595.0,25.4,0.0,0.0,0.0,253,762000,0.79,0.77,3011,0
15/9-12,2.0,3512.0,3522.0,25.4,0.0,0.0,0.0,234,807000,0.79,0.76,3448,0
15/9-13,1.0,2765.0,2769.0,25.4,0.0,0.0,0.0,388,804000,0.783,0.742,2073,0
15/9-13,2.0,2422.0,2427.0,25.4,0.0,0.0,0.0,401,758000,0.76,0.702,1891,0
15/9-15,1.0,2880.0,2890.0,25.0,0.0,0.0,0.0,188,467000,0.77,0.736,2551,0
15/9-15,2.0,2830.0,2850.0,22.0,0.0,0.0,0.0,202,510000,0.767,0.74,2507,0
15/9-17,1.0,2802.0,2814.0,19.0,0.0,0.0,0.0,210,590000,0.0,0.0,2800,0
