Well,Depth,Legend
6507/2-2,3337.25,Thin section no. 1759
6507/2-2,3337.5,Thin section no. 1760
6507/2-2,3687.5,Thin section no. 1761
6507/2-2,3690.0,Thin section no. 1762
6507/2-2,3691.65,Thin section no. 1763
6507/2-2,3692.45,Thin section no. 1764
6507/2-2,3694.22,Thin section no. 1765
6507/2-2,3695.5,Thin section no. 1766
6507/2-2,3698.5,Thin section no. 1767
6507/2-2,3698.75,Thin section no. 1768
6507/2-2,3771.25,Thin section no. 1769
6507/2-2,3777.0,Thin section no. 1770
6507/2-3,3259.22,Thin section no. 1771
6507/2-3,3260.25,Thin section no. 1772
6507/2-3,2857.8,Thin section no. 1808
6507/2-3,2872.33,Thin section no. 1809
6507/2-4,2836.0,Thin section no. 1773
6507/2-4,2837.0,Thin section no. 1774
6507/2-4,2839.5,Thin section no. 1775
6507/2-4,2842.5,Thin section no. 1776
6507/2-4,2844.45,Thin section no. 1777
6507/2-4,2846.5,Thin section no. 1778
6507/2-4,2849.75,Thin section no. 1779
6507/2-4,3334.6,Thin section no. 1780
6507/2-4,3336.05,Thin section no. 1781
6507/2-4,3339.5,Thin section no. 1782
6507/2-4,3340.05,Thin section no. 1783
6507/2-4,3340.45,Thin section no. 1784
6507/2-4,3340.57,Thin section no. 1785
6507/2-4,3340.9,Thin section no. 1786
6507/3-3,2733.45,Thin section no. 1806
6507/3-3,2742.55,Thin section no. 1807
6507/5-3,2836.55,Thin section no. 1787
6507/5-3,2845.0,Thin section no. 1788
6507/5-3,2848.0,Thin section no. 1789
6507/5-3,2850.25,Thin section no. 1790
6507/5-3,2853.5,Thin section no. 1791
6507/5-6 S,4436.88,Thin section no. 1795
6507/5-6 S,4438.73,Thin section no. 1796
6507/5-6 S,4439.35,Thin section no. 1797
6507/5-6 S,4441.34,Thin section no. 1798
6507/5-6 S,4442.52,Thin section no. 1799
6507/5-6 S,4445.95,Thin section no. 1800
6507/5-6 S,4446.6,Thin section no. 1801
6507/5-6 S,4448.3,Thin section no. 1802
6507/5-6 S,4450.55,Thin section no. 1803
6507/5-6 S,4452.36,Thin section no. 1804
6507/5-6 S,4453.95,Thin section no. 1805
6507/7-1,3504.2,Thin section no. 1792
6507/7-1,3507.25,Thin section no. 1793
6507/7-1,3509.65,Thin section no. 1794
7/11-1,9500.0,Thin section no. 728
7/11-1,9500.0,Thin section no. 729
7/11-1,9510.0,Thin section no. 730
7/11-1,9530.0,Thin section no. 731
7/11-1,9560.0,Thin section no. 732
7/11-1,9570.0,Thin section no. 733
7/11-1,9590.0,Thin section no. 734
7/11-1,9890.0,Thin section no. 735
7/11-1,10150.0,Thin section no. 736
7/11-1,9638.5,Thin section no. 737
7/11-3,10086.0,Thin section no. 738
7/11-3,10147.0,Thin section no. 739
7/11-3,10147.0,Thin section no. 740
7/11-3,10183.0,Thin section no. 741
7/11-3,10423.0,Thin section no. 742
7/3-1,14485.0,Thin section no. 2334
7/3-1,14516.1,Thin section no. 2335
7/3-1,14542.0,Thin section no. 2336
7/3-1,14933.5,Thin section no. 2337
7/3-1,14948.0,Thin section no. 2338
7/3-1,14953.5,Thin section no. 2339
7/3-1,14992.7,Thin section no. 2340
7/3-1,15003.5,Thin section no. 2341
7/3-1,1448.4,Thin section no. 723
7/3-1,14498.0,Thin section no. 724
7/3-1,14921.0,Thin section no. 725
7/3-1,14531.0,Thin section no. 726
7/8-2,9130.0,Thin section no. 727
7019/1-1,2221.25,Thin section no. 1431
7019/1-1,2227.55,Thin section no. 1432
7019/1-1,2228.25,Thin section no. 1433
7117/9-1,1357.7,Thin section no. 1434
7117/9-1,1364.14,Thin section no. 1435
7119/12-1,2984.75,Thin section no. 1360
7119/12-1,2993.0,Thin section no. 1361
7120/10-2,2127.55,Thin section no. 1436
7120/10-2,2129.5,Thin section no. 1437
7120/10-2,2134.92,Thin section no. 1438
7120/1-1,4001.3,Thin section no. 2464
7120/1-1,3192.55,Thin section no. 2465
7120/1-1,3194.2,Thin section no. 2466
7120/1-1,3190.7,Thin section no. 2467
7120/1-1,3188.65,Thin section no. 2468
7120/1-1,3187.35,Thin section no. 2469
7120/1-1,3186.62,Thin section no. 2470
7120/1-2,1816.15,Thin section no. 1458
7120/1-2,1817.32,Thin section no. 1459
7120/1-2,1961.72,Thin section no. 1460
7120/1-2,1962.73,Thin section no. 1461
7120/1-2,2581.8,Thin section no. 1462
7120/1-2,2583.48,Thin section no. 1463
7120/12-1,3521.4,Thin section no. 1403
7120/12-1,3523.19,Thin section no. 1404
7120/12-1,3525.1,Thin section no. 1405
7120/12-1,1543.15,Thin section no. 1518
7120/12-1,1543.85,Thin section no. 1519
7120/12-1,1544.15,Thin section no. 1520
7120/12-1,1703.5,Thin section no. 1521
7120/12-1,1704.0,Thin section no. 1522
7120/12-2,4679.71,Thin section no. 2455
7120/12-2,4124.0,Thin section no. 2456
7120/12-2,4119.74,Thin section no. 2457
7120/12-2,3684.9,Thin section no. 2458
7120/12-2,3675.6,Thin section no. 2459
7120/12-2,3671.2,Thin section no. 2460
7120/12-2,2048.15,Thin section no. 2461
7120/12-4,2182.7,Thin section no. 2498
7120/12-4,1516.95,Thin section no. 2499
7120/12-4,2190.2,Thin section no. 2500
7120/12-4,1520.5,Thin section no. 2501
7120/12-4,1530.02,Thin section no. 2502
7120/12-4,1531.52,Thin section no. 2503
7120/12-4,2183.27,Thin section no. 2504
7120/12-4,1519.95,Thin section no. 2505
7120/12-4,1525.88,Thin section no. 2506
7120/12-4,1654.65,Thin section no. 2507
7120/12-4,1657.95,Thin section no. 2508
7120/12-4,1661.05,Thin section no. 2509
7120/12-4,1514.1,Thin section no. 766
7120/12-4,1515.32,Thin section no. 767
7120/12-4,1518.6,Thin section no. 768
7120/12-4,1517.8,Thin section no. 769
7120/12-4,1525.9,Thin section no. 770
7120/12-4,1532.0,Thin section no. 771
7120/12-4,1654.75,Thin section no. 772
7120/12-4,1655.7,Thin section no. 773
7120/2-1,1961.0,Thin section no. 2033
7120/2-1,1961.3,Thin section no. 2034
7120/2-1,1964.1,Thin section no. 2035
7120/2-1,1965.05,Thin section no. 2036
7120/2-1,1967.2,Thin section no. 2037
7120/2-1,1992.5,Thin section no. 2038
7120/2-1,1998.9,Thin section no. 2039
7120/2-1,2008.7,Thin section no. 2040
7120/2-1,2020.15,Thin section no. 2041
7120/2-1,1960.5,Thin section no. 2516
7120/2-1,2221.9,Thin section no. 2517
7120/2-1,2158.7,Thin section no. 2518
7120/2-1,2173.35,Thin section no. 2519
7120/2-1,2171.5,Thin section no. 2520
7120/2-1,2147.5,Thin section no. 2521
7120/2-1,2137.7,Thin section no. 2522
7120/2-1,2048.35,Thin section no. 2523
7120/2-1,2028.7,Thin section no. 2524
7120/2-1,2027.15,Thin section no. 2525
7120/2-1,2025.75,Thin section no. 2526
7120/2-1,2017.7,Thin section no. 2527
7120/2-1,2015.75,Thin section no. 2528
7120/2-1,2010.9,Thin section no. 2529
7120/2-1,2009.3,Thin section no. 2530
7120/2-1,2008.9,Thin section no. 2531
7120/2-1,2000.05,Thin section no. 2532
7120/2-1,1997.8,Thin section no. 2533
7120/2-1,1996.3,Thin section no. 2534
7120/2-1,1993.95,Thin section no. 2535
7120/2-1,1990.4,Thin section no. 2536
7120/2-1,1987.4,Thin section no. 2537
7120/2-1,1986.65,Thin section no. 2538
7120/2-1,1983.45,Thin section no. 2539
7120/2-1,1981.5,Thin section no. 2540
7120/2-1,1979.6,Thin section no. 2541
7120/2-1,1978.7,Thin section no. 2542
7120/2-1,1976.78,Thin section no. 2543
7120/2-1,1974.5,Thin section no. 2544
7120/2-1,1973.4,Thin section no. 2545
7120/2-1,1971.9,Thin section no. 2546
7120/2-1,1970.2,Thin section no. 2547
7120/2-1,1969.7,Thin section no. 2548
7120/2-1,1969.35,Thin section no. 2549
7120/2-1,1968.5,Thin section no. 2550
7120/2-1,1967.7,Thin section no. 2551
7120/2-1,1967.5,Thin section no. 2552
7120/2-1,1965.95,Thin section no. 2553
7120/2-1,1965.6,Thin section no. 2554
7120/2-1,1964.4,Thin section no. 2555
7120/2-1,1963.8,Thin section no. 2556
7120/2-1,1963.65,Thin section no. 2557
7120/2-1,1963.45,Thin section no. 2558
7120/2-1,1962.9,Thin section no. 2559
7120/2-1,1961.4,Thin section no. 2560
7120/2-1,2223.6,Thin section no. 2561
7120/2-1,2047.0,Thin section no. 743
7120/2-1,2048.0,Thin section no. 744
7120/2-1,2049.0,Thin section no. 745
7120/2-1,2050.0,Thin section no. 746
7120/2-1,2050.0,Thin section no. 747
7120/2-1,2058.0,Thin section no. 748
7120/2-1,2059.0,Thin section no. 749
7120/2-1,2068.0,Thin section no. 750
7120/2-1,2069.0,Thin section no. 751
7120/2-1,2074.0,Thin section no. 752
7120/2-1,2076.0,Thin section no. 753
7120/2-1,2105.0,Thin section no. 754
7120/2-1,2128.0,Thin section no. 755
7120/2-1,2132.0,Thin section no. 756
7120/2-1,2141.0,Thin section no. 757
7120/2-1,2147.0,Thin section no. 758
7120/2-1,2150.0,Thin section no. 759
7120/2-1,2161.0,Thin section no. 760
7120/2-1,2162.0,Thin section no. 761
7120/2-1,2173.0,Thin section no. 762
7120/2-1,2212.0,Thin section no. 763
7120/2-2,2163.0,Thin section no. 1453
7120/2-2,2181.25,Thin section no. 1454
7120/2-2,2184.25,Thin section no. 1455
7120/2-2,2190.75,Thin section no. 1456
7120/2-2,2393.25,Thin section no. 1457
7120/5-1,2379.35,Thin section no. 1385
7120/5-1,2401.65,Thin section no. 1386
7120/5-1,2405.65,Thin section no. 1387
7120/5-1,2423.65,Thin section no. 1388
7120/6-1,2389.65,Thin section no. 1389
7120/6-1,2398.65,Thin section no. 1390
7120/6-1,2401.7,Thin section no. 1391
7120/6-1,2406.75,Thin section no. 1392
7120/6-1,2420.0,Thin section no. 1393
7120/6-1,2428.75,Thin section no. 1394
7120/6-1,2444.35,Thin section no. 1395
7120/6-1,2451.0,Thin section no. 1396
7120/6-1,2471.35,Thin section no. 1397
7120/6-1,2485.63,Thin section no. 1398
7120/6-1,2492.66,Thin section no. 1399
7120/6-1,2495.3,Thin section no. 1400
7120/6-1,2546.4,Thin section no. 1401
7120/6-1,2562.66,Thin section no. 1402
7121/1-1,3311.53,Thin section no. 2462
7121/1-1,3385.05,Thin section no. 2463
7121/5-1,2505.0,Thin section no. 1422
7121/5-1,2507.0,Thin section no. 1423
7121/5-1,2512.35,Thin section no. 1424
7121/5-1,2514.35,Thin section no. 1425
7121/5-1,2517.0,Thin section no. 1426
7121/5-1,2524.65,Thin section no. 1427
7121/5-1,2526.65,Thin section no. 1428
7121/5-1,2530.0,Thin section no. 1429
7121/5-1,2535.35,Thin section no. 1430
7121/5-3,1999.75,Thin section no. 1411
7121/5-3,2003.25,Thin section no. 1412
7121/5-3,2013.75,Thin section no. 1413
7122/2-1,1816.25,Thin section no. 1489
7122/2-1,1835.5,Thin section no. 1490
7122/2-1,1838.75,Thin section no. 1491
7122/2-1,1845.5,Thin section no. 1492
7122/2-1,1851.5,Thin section no. 1493
7122/2-1,1869.25,Thin section no. 1494
7122/2-1,1875.5,Thin section no. 1495
7122/2-1,1883.75,Thin section no. 1496
7122/2-1,1889.75,Thin section no. 1497
7122/2-1,1909.5,Thin section no. 1498
7122/2-1,1919.5,Thin section no. 1499
7122/2-1,1923.75,Thin section no. 1500
7122/2-1,1928.25,Thin section no. 1501
7122/6-1,2020.25,Thin section no. 1414
7122/6-1,2023.75,Thin section no. 1415
7122/6-1,2030.0,Thin section no. 1416
7122/6-1,2037.75,Thin section no. 1417
7122/6-1,2041.5,Thin section no. 1418
7122/6-1,2052.5,Thin section no. 1419
7122/6-1,2082.55,Thin section no. 1420
7122/6-1,2092.75,Thin section no. 1421
7122/6-2,2452.28,Thin section no. 1464
7122/6-2,2456.01,Thin section no. 1465
7122/6-2,2457.22,Thin section no. 1466
7122/6-2,2466.03,Thin section no. 1467
7122/6-2,2484.02,Thin section no. 1468
7122/6-2,2501.26,Thin section no. 1469
7122/6-2,2502.39,Thin section no. 1470
7122/7-2,1077.25,Thin section no. 1373
7122/7-2,1077.5,Thin section no. 1374
7122/7-2,1078.5,Thin section no. 1375
7122/7-2,1089.65,Thin section no. 1376
7122/7-2,1091.25,Thin section no. 1377
7122/7-2,1098.36,Thin section no. 1378
7122/7-2,1100.5,Thin section no. 1379
7122/7-2,1102.75,Thin section no. 1380
7122/7-2,1131.25,Thin section no. 1381
7122/7-2,1136.75,Thin section no. 1382
7122/7-2,1155.25,Thin section no. 1383
7122/7-2,1159.75,Thin section no. 1384
7122/7-3,1087.8,Thin section no. 1439
7122/7-3,1813.25,Thin section no. 1440
7122/7-3,1818.25,Thin section no. 1441
7122/7-3,1828.75,Thin section no. 1442
7122/7-4 S,1186.8,Thin section no. 1502
7122/7-4 S,1209.52,Thin section no. 1503
7122/7-4 S,1211.0,Thin section no. 1504
7122/7-4 S,1795.05,Thin section no. 1505
7122/7-4 S,1797.95,Thin section no. 1506
7122/7-4 S,1798.4,Thin section no. 1507
7122/7-4 S,1804.5,Thin section no. 1508
7122/7-4 S,1808.25,Thin section no. 1509
7122/7-4 S,1812.8,Thin section no. 1510
7122/7-4 S,1814.05,Thin section no. 1511
7122/7-4 S,1818.05,Thin section no. 1512
7122/7-4 S,1885.09,Thin section no. 1513
7122/7-4 S,2053.1,Thin section no. 1514
7122/7-4 S,2054.25,Thin section no. 1515
7122/7-4 S,2057.8,Thin section no. 1516
7122/7-4 S,2059.05,Thin section no. 1517
7122/7-5,1900.45,Thin section no. 1448
7122/7-5,1902.26,Thin section no. 1449
7122/7-5,1906.9,Thin section no. 1450
7122/7-5,1908.75,Thin section no. 1451
7122/7-5,1909.35,Thin section no. 1452
7125/1-1,1423.7,Thin section no. 1362
7125/1-1,1433.7,Thin section no. 1363
7125/4-1,885.2,Thin section no. 1471
7125/4-1,886.4,Thin section no. 1472
7125/4-1,887.2,Thin section no. 1473
7125/4-1,894.2,Thin section no. 1474
7125/4-1,899.8,Thin section no. 1475
7125/4-1,901.05,Thin section no. 1476
7125/4-1,904.5,Thin section no. 1477
7125/4-1,905.5,Thin section no. 1478
7128/4-1,1574.15,Thin section no. 2029
7128/4-1,1574.4,Thin section no. 2030
7128/4-1,1575.92,Thin section no. 2031
7128/4-1,1576.2,Thin section no. 2032
7128/4-1,1574.3,Thin section no. 2479
7128/4-1,1575.85,Thin section no. 2480
7128/4-1,1815.12,Thin section no. 2481
7128/4-1,1821.4,Thin section no. 2482
7128/4-1,1849.5,Thin section no. 2483
7128/4-1,1832.4,Thin section no. 2484
7128/4-1,1837.8,Thin section no. 2485
7128/4-1,1841.68,Thin section no. 2486
7128/4-1,1843.9,Thin section no. 2487
7128/4-1,1851.85,Thin section no. 2488
7128/4-1,1855.5,Thin section no. 2489
7128/4-1,1858.5,Thin section no. 2490
7128/4-1,1861.55,Thin section no. 2491
7128/4-1,1865.47,Thin section no. 2492
7128/4-1,2362.23,Thin section no. 2493
7128/4-1,2368.5,Thin section no. 2494
7128/4-1,2382.75,Thin section no. 2495
7128/4-1,2388.56,Thin section no. 2496
7128/4-1,2527.98,Thin section no. 2497
7128/6-1,1630.1,Thin section no. 2415
7128/6-1,1637.81,Thin section no. 2416
7128/6-1,1643.88,Thin section no. 2417
7128/6-1,1744.58,Thin section no. 2418
7128/6-1,1751.69,Thin section no. 2419
7128/6-1,1757.53,Thin section no. 2420
7128/6-1,1812.74,Thin section no. 2421
7128/6-1,1812.86,Thin section no. 2422
7128/6-1,1836.03,Thin section no. 2423
7128/6-1,1845.75,Thin section no. 2424
7128/6-1,1866.52,Thin section no. 2425
7128/6-1,1868.51,Thin section no. 2426
7128/6-1,1877.48,Thin section no. 2427
7128/6-1,1891.9,Thin section no. 2428
7128/6-1,1896.7,Thin section no. 2429
7128/6-1,1902.72,Thin section no. 2430
7128/6-1,1904.75,Thin section no. 2431
7128/6-1,1883.41,Thin section no. 2432
7128/6-1,1913.49,Thin section no. 2433
7128/6-1,1916.15,Thin section no. 2434
7128/6-1,1930.44,Thin section no. 2435
7128/6-1,1945.28,Thin section no. 2436
7128/6-1,1947.94,Thin section no. 2437
7128/6-1,1952.04,Thin section no. 2438
7128/6-1,1957.66,Thin section no. 2439
7128/6-1,1975.63,Thin section no. 2440
7128/6-1,1964.4,Thin section no. 2441
7128/6-1,1973.66,Thin section no. 2442
7128/6-1,1971.63,Thin section no. 2443
7128/6-1,1985.63,Thin section no. 2444
7128/6-1,1993.63,Thin section no. 2445
7128/6-1,1997.43,Thin section no. 2446
7128/6-1,2000.7,Thin section no. 2447
7128/6-1,2006.47,Thin section no. 2448
7128/6-1,2015.03,Thin section no. 2449
7128/6-1,2025.12,Thin section no. 2450
7128/6-1,2044.52,Thin section no. 2451
7128/6-1,2046.03,Thin section no. 2452
7128/6-1,2049.78,Thin section no. 2453
7128/6-1,2073.92,Thin section no. 2454
7131/4-1,1112.15,Thin section no. 1345
7131/4-1,1108.5,Thin section no. 1346
7131/4-1,1092.75,Thin section no. 1347
7131/4-1,1086.75,Thin section no. 1348
7131/4-1,1079.75,Thin section no. 1349
7131/4-1,1077.5,Thin section no. 1350
7131/4-1,1075.53,Thin section no. 1351
7131/4-1,1071.25,Thin section no. 1352
7131/4-1,932.5,Thin section no. 1353
7131/4-1,929.75,Thin section no. 1354
7131/4-1,924.15,Thin section no. 1355
7131/4-1,920.38,Thin section no. 1356
7131/4-1,915.4,Thin section no. 1357
7131/4-1,917.75,Thin section no. 1358
7131/4-1,937.2,Thin section no. 1359
7216/11-1 S,2988.03,Thin section no. 1443
7216/11-1 S,2989.03,Thin section no. 1444
7216/11-1 S,2991.5,Thin section no. 1445
7216/11-1 S,2992.75,Thin section no. 1446
7216/11-1 S,2993.02,Thin section no. 1447
7220/11-1,1906.3,Thin section no. 2631
7220/11-1,1907.6,Thin section no. 2632
7220/11-1,1915.82,Thin section no. 2633
7220/11-1,1918.28,Thin section no. 2634
7220/11-1,1923.01,Thin section no. 2635
7220/11-1,1924.25,Thin section no. 2636
7220/11-1,1930.8,Thin section no. 2637
7220/11-1,1935.72,Thin section no. 2638
7220/11-1,1936.6,Thin section no. 2639
7220/11-1,1941.75,Thin section no. 2640
7220/11-1,1946.55,Thin section no. 2641
7220/11-1,1949.27,Thin section no. 2642
7220/11-1,1950.77,Thin section no. 2643
7220/11-1,1951.35,Thin section no. 2644
7220/11-1,1953.55,Thin section no. 2645
7220/11-1,1954.57,Thin section no. 2646
7220/11-1,1959.1,Thin section no. 2647
7220/11-1,1960.2,Thin section no. 2648
7220/11-1,1963.83,Thin section no. 2649
7220/11-1,1965.2,Thin section no. 2650
7220/11-1,1971.72,Thin section no. 2651
7220/11-1,1973.35,Thin section no. 2652
7220/11-1,1974.18,Thin section no. 2653
7220/11-1,1976.89,Thin section no. 2654
7220/11-1,1977.35,Thin section no. 2655
7220/11-1,1988.0,Thin section no. 2656
7220/11-1,1902.0,Thin section no. 2657
7220/11-1,1977.0,Thin section no. 2658
7220/11-1,1983.0,Thin section no. 2659
7220/11-1,1989.0,Thin section no. 2660
7220/11-1,1995.0,Thin section no. 2661
7220/11-1,1998.0,Thin section no. 2662
7220/11-1,2001.0,Thin section no. 2663
7220/11-1,2004.0,Thin section no. 2664
7220/11-1,2007.0,Thin section no. 2665
7220/11-1,2013.0,Thin section no. 2666
7220/11-1,2016.0,Thin section no. 2667
7220/11-1,2019.0,Thin section no. 2668
7220/11-1,2022.0,Thin section no. 2669
7220/11-1,2025.0,Thin section no. 2670
7220/11-1,2031.0,Thin section no. 2671
7220/11-1,2034.0,Thin section no. 2672
7220/11-1,2037.0,Thin section no. 2673
7220/11-1,2043.0,Thin section no. 2674
7220/11-1,2049.0,Thin section no. 2675
7220/11-1,2055.0,Thin section no. 2676
7220/11-1,2061.0,Thin section no. 2677
7220/11-1,2067.0,Thin section no. 2678
7220/11-1,2073.0,Thin section no. 2679
7220/11-1,2076.0,Thin section no. 2680
7220/11-1,2079.0,Thin section no. 2681
7220/11-1,2085.0,Thin section no. 2682
7220/11-1,2091.0,Thin section no. 2683
7220/11-1,2097.0,Thin section no. 2684
7220/11-1,2100.0,Thin section no. 2685
7220/11-1,2103.0,Thin section no. 2686
7220/11-1,2106.0,Thin section no. 2687
7220/11-1,2109.0,Thin section no. 2688
7220/11-1,2112.0,Thin section no. 2689
7220/11-1,2118.0,Thin section no. 2690
7220/6-1,1149.7,Thin section no. 2017
7220/6-1,1149.95,Thin section no. 2018
7220/6-1,1150.5,Thin section no. 2019
7220/6-1,1153.25,Thin section no. 2020
7220/6-1,1155.95,Thin section no. 2021
7220/6-1,1156.6,Thin section no. 2022
7220/6-1,1161.4,Thin section no. 2023
7220/6-1,1168.8,Thin section no. 2024
7220/6-1,1169.9,Thin section no. 2025
7220/6-1,1191.55,Thin section no. 2026
7220/6-1,1199.9,Thin section no. 2027
7220/6-1,2136.75,Thin section no. 2028
7220/6-1,1143.45,Thin section no. 2401
7220/6-1,1150.95,Thin section no. 2402
7220/6-1,1154.8,Thin section no. 2403
7220/6-1,1160.7,Thin section no. 2404
7220/6-1,1162.45,Thin section no. 2405
7220/6-1,1172.82,Thin section no. 2406
7220/6-1,1176.24,Thin section no. 2407
7220/6-1,1176.52,Thin section no. 2408
7220/6-1,1176.87,Thin section no. 2409
7220/6-1,1190.36,Thin section no. 2410
7220/6-1,1190.5,Thin section no. 2411
7220/6-1,1191.92,Thin section no. 2412
7220/6-1,1194.95,Thin section no. 2413
7220/6-1,1195.87,Thin section no. 2414
7220/6-1,1140.0,Thin section no. 2563
7220/6-1,1145.0,Thin section no. 2564
7220/6-1,1207.0,Thin section no. 2565
7220/6-1,1210.0,Thin section no. 2566
7220/6-1,1215.0,Thin section no. 2567
7220/6-1,1220.0,Thin section no. 2568
7220/6-1,1225.0,Thin section no. 2569
7220/6-1,1230.0,Thin section no. 2570
7220/6-1,1235.0,Thin section no. 2571
7220/6-1,1240.0,Thin section no. 2572
7220/6-1,1245.0,Thin section no. 2573
7220/6-1,1250.0,Thin section no. 2574
7220/6-1,1255.0,Thin section no. 2575
7220/6-1,1260.0,Thin section no. 2576
7220/6-1,1265.0,Thin section no. 2577
7220/6-1,1270.0,Thin section no. 2578
7220/6-1,1275.0,Thin section no. 2579
7220/6-1,1280.0,Thin section no. 2580
7220/6-1,1285.0,Thin section no. 2581
7220/6-1,1290.0,Thin section no. 2582
7220/6-1,1295.0,Thin section no. 2583
7220/6-1,1300.0,Thin section no. 2584
7220/6-1,1305.0,Thin section no. 2585
7220/6-1,1310.0,Thin section no. 2586
7220/6-1,1315.0,Thin section no. 2587
7220/6-1,1320.0,Thin section no. 2588
7220/6-1,1325.0,Thin section no. 2589
7220/6-1,1330.0,Thin section no. 2590
7220/6-1,1335.0,Thin section no. 2591
7220/6-1,1340.0,Thin section no. 2592
7220/6-1,1345.0,Thin section no. 2593
7220/6-1,1350.0,Thin section no. 2594
7220/6-1,1355.0,Thin section no. 2595
7220/6-1,1360.0,Thin section no. 2596
7220/6-1,1365.0,Thin section no. 2597
7220/6-1,1370.0,Thin section no. 2598
7220/6-1,1375.0,Thin section no. 2599
7220/6-1,1380.0,Thin section no. 2600
7220/6-1,1385.0,Thin section no. 2601
7220/6-1,1390.0,Thin section no. 2602
7220/6-1,1397.0,Thin section no. 2603
7220/6-1,1400.0,Thin section no. 2604
7220/6-1,1405.0,Thin section no. 2605
7220/6-1,1412.0,Thin section no. 2606
7220/6-1,1415.0,Thin section no. 2607
7220/6-1,1420.0,Thin section no. 2608
7220/6-1,1425.0,Thin section no. 2609
7220/6-1,1427.0,Thin section no. 2610
7220/6-1,1435.0,Thin section no. 2611
7220/6-1,1440.0,Thin section no. 2612
7220/6-1,1445.0,Thin section no. 2613
7220/6-1,1450.0,Thin section no. 2614
7220/6-1,1455.0,Thin section no. 2615
7220/6-1,1460.0,Thin section no. 2616
7220/6-1,1465.0,Thin section no. 2617
7220/6-1,1470.0,Thin section no. 2618
7220/6-1,1477.0,Thin section no. 2619
7220/6-1,1480.0,Thin section no. 2620
7220/6-1,1482.0,Thin section no. 2621
7220/6-1,1155.86,Thin section no. 2622
7220/6-1,1160.82,Thin section no. 2623
7220/6-1,1169.76,Thin section no. 2624
7220/6-1,1170.95,Thin section no. 2625
7220/6-1,1179.75,Thin section no. 2626
7220/6-1,1185.82,Thin section no. 2627
7220/6-1,1183.72,Thin section no. 2628
7220/6-1,1196.24,Thin section no. 2629
7220/6-1,1202.45,Thin section no. 2630
7224/7-1,907.5,Thin section no. 1364
7224/7-1,914.75,Thin section no. 1365
7224/7-1,919.5,Thin section no. 1366
7224/7-1,922.75,Thin section no. 1367
7224/7-1,928.75,Thin section no. 1368
7226/11-1,1202.5,Thin section no. 1637
7226/11-1,1215.75,Thin section no. 1638
7226/11-1,1245.5,Thin section no. 1639
7226/11-1,2142.65,Thin section no. 1640
7226/11-1,2956.75,Thin section no. 1641
7226/11-1,3060.75,Thin section no. 1642
7226/11-1,3071.75,Thin section no. 1643
7226/11-1,4139.7,Thin section no. 2137
7226/11-1,4140.6,Thin section no. 2138
7226/11-1,4142.6,Thin section no. 2139
7226/11-1,4143.1,Thin section no. 2140
7226/11-1,4144.4,Thin section no. 2141
7226/11-1,4153.3,Thin section no. 2142
7226/11-1,4145.8,Thin section no. 2143
7226/11-1,4594.8,Thin section no. 2144
7226/11-1,4597.8,Thin section no. 2145
7226/11-1,4598.4,Thin section no. 2146
7226/11-1,4600.3,Thin section no. 2147
7226/11-1,4602.4,Thin section no. 2148
7226/11-1,4602.8,Thin section no. 2149
7226/11-1,4604.85,Thin section no. 2150
7226/11-1,4605.4,Thin section no. 2151
7226/11-1,4607.9,Thin section no. 2152
7226/11-1,4609.1,Thin section no. 2153
7226/11-1,4609.5,Thin section no. 2154
7226/11-1,4613.3,Thin section no. 2155
7226/11-1,4145.9,Thin section no. 2156
7228/2-1 S,1286.75,Thin section no. 1406
7228/2-1 S,1288.5,Thin section no. 1407
7228/2-1 S,1292.5,Thin section no. 1408
7228/2-1 S,1385.25,Thin section no. 1409
7228/2-1 S,1387.0,Thin section no. 1410
7228/9-1 S,1104.25,Thin section no. 1644
7228/9-1 S,1113.25,Thin section no. 1645
7228/9-1 S,1121.75,Thin section no. 1646
7228/9-1 S,1124.75,Thin section no. 1647
7228/9-1 S,1130.5,Thin section no. 1648
7228/9-1 S,2874.75,Thin section no. 1649
7228/9-1 S,2879.25,Thin section no. 1650
7228/9-1 S,4303.1,Thin section no. 2157
7228/9-1 S,4304.8,Thin section no. 2158
7228/9-1 S,4312.7,Thin section no. 2159
7228/9-1 S,4442.8,Thin section no. 2160
7228/9-1 S,4420.1,Thin section no. 2161
7228/9-1 S,4429.2,Thin section no. 2162
7228/9-1 S,4432.4,Thin section no. 2163
7228/9-1 S,4436.6,Thin section no. 2164
7228/9-1 S,4437.5,Thin section no. 2165
7228/9-1 S,4438.8,Thin section no. 2166
7228/9-1 S,4441.5,Thin section no. 2167
7229/11-1,4380.02,Thin section no. 2471
7229/11-1,4377.02,Thin section no. 2472
7229/11-1,4374.02,Thin section no. 2473
7229/11-1,4275.96,Thin section no. 2474
7229/11-1,4275.11,Thin section no. 2475
7229/11-1,4275.02,Thin section no. 2476
7229/11-1,4271.85,Thin section no. 2477
7229/11-1,4267.6,Thin section no. 2478
7316/5-1,899.85,Thin section no. 1479
7316/5-1,903.4,Thin section no. 1480
7316/5-1,905.9,Thin section no. 1481
7316/5-1,1350.35,Thin section no. 1482
7316/5-1,1365.55,Thin section no. 1483
7316/5-1,1368.7,Thin section no. 1484
7316/5-1,1461.35,Thin section no. 1485
7316/5-1,1464.63,Thin section no. 1486
7316/5-1,1465.63,Thin section no. 1487
7316/5-1,1469.9,Thin section no. 1488
