IC default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CREATED,CREATED,,,,,,,CREATED,,,,,,,,,,,,,,,,,,,,CREATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Alternate 1,UWI number,Quadrant,Block,Operator,Licence number,Intent,Intent - planned,Well status,Well content,Status,Type,Subsea,SPUD date,Completion date,Field,Drill permit,Discovery name,Discovery wellbore,Bottom hole temperature [°C],Seismic line,Maximum inclination [°],KBE,Final vertical depth (TVD) [m RKB],Terminal depth,Water depth,Kick off point [m RKB],Oldest penetrated age,Oldest penetrated formation,Location,Country,Facility,Drilling facility type,Drilling facility category,Licensing activity awarded in,Multilateral,Entry year,Completed year,Reclassified from/to wellbore,Reentry activity,Plot symbol,1st level with HC formation,1st level with HC age,2nd level with HC formation,2nd level with HC age,3rd level with HC formation,3rd level with HC age,Drilling days,Reentry,Geodatum,Latitude,Longitude,Surface X,Surface Y,UTM zone,Grid system,DISKOS Well Type,DISKOS Wellbore Parent,Publication date,Release date,NPDID wellbore,NPDID discovery,NPDID field,NPDID drilling facility,NPDID wellbore reclassified from,NPDID production licence drilled in,Date main level updated,Date all updated,Date sync NPD
1/3-8,1/3-8,2829,1,3,Amoco Norway Oil Company,011 ,WILDCAT,WILDCAT,P & A,SHOWS,P & A Shows,EXPLORATION, NO,1996-12-12,1997-05-27,,855-L,,NO,179.0,RANDOM LINES SH 9201 S1 OG S2,4.0,41.0,5199.0,5201.0,70.0,,TRIASSIC            ,SMITH BANK FM       ,NORTH SEA,NORWAY,TRANSOCEAN NORDIC,JACK-UP 3 LEGS,MOVEABLE,1-A,NO,1996,1997,,,,,,,,                    ,                    ,167,NO,ED50,56.86865,2.889097,493238.84,6302911.22,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-04-30,1999-05-27,2829,0,0,296191,0,20844.0,2019-10-03,2019-10-03,09.02.2020
1/3-9 S,1/3-9,3362,1,3,BP Norway Limited U.A.,065 ,APPRAISAL,APPRAISAL,RE-CLASS TO DEV,OIL,Re-Class To Dev Oil,EXPLORATION, NO,1998-05-08,1998-07-31,TAMBAR,928-L,1/3-3 Tambar,NO,168.0,BPNHR97-13 X-OVER BPNHR97-22,25.9,23.0,4359.0,4516.0,68.0,,LATE JURASSIC       ,ULA FM              ,NORTH SEA,NORWAY,MÆRSK JUTLANDER,SEMISUB STEEL,MOVEABLE,6,NO,1998,1998,1/3-K-1   ,,,ULA FM,LATE JURASSIC,,,                    ,                    ,85,NO,ED50,56.982769,2.958703,497490.0,6315610.11,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-04-30,2000-07-31,3362,43826,1028599,296353,4320,21316.0,2019-10-03,2019-10-03,09.02.2020
1/3-10,1/3-10,5614,1,3,DONG E&P Norge AS,274 ,APPRAISAL,APPRAISAL,P & A,OIL/GAS,P & A Oil Gas,EXPLORATION, NO,2007-10-25,2008-01-07,OSELVAR,1154-L,1/3-6 Oselvar,NO,135.0,BPN 9202 R02 3D dataset inline 904 & crossline 3018,1.1,45.0,3288.0,3288.0,72.0,,PALEOCENE           ,LISTA FM            ,NORTH SEA,NORWAY,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,NST2001,NO,2007,2008,,,,FORTIES FM,PALEOCENE,,,                    ,                    ,75,NO,ED50,56.927739,2.705747,482089.29,6309521.94,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-01-07,2010-01-07,5614,43832,5506919,292114,0,2060266.0,2019-10-03,2019-10-03,09.02.2020
1/3-10 A,1/3-10,5779,1,3,DONG E&P Norge AS,274 ,APPRAISAL,APPRAISAL,P & A,OIL/GAS,P & A Oil Gas,EXPLORATION, NO,2008-01-07,2008-02-13,OSELVAR,1168-L,1/3-6 Oselvar,NO,145.0,BPN 9202 R02 3D dataset inline 904  & crossline 3018,53.8,45.0,3335.0,3632.0,72.0,2276.0,PALEOCENE           ,SELE FM             ,NORTH SEA,NORWAY,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,NST2001,NO,2008,2008,,,,FORTIES FM,PALEOCENE,,,                    ,                    ,38,NO,ED50,56.927739,2.705747,482089.29,6309521.94,31,ED50 / UTM zone 31N,sidetrack           ,1/3-10                                  ,2010-02-13,2010-02-13,5779,43832,5506919,292114,0,2060266.0,2019-10-03,2019-10-03,09.02.2020
1/3-11,1/3-11,5806,1,3,DONG E&P Norge AS,274 ,WILDCAT,WILDCAT,P & A,OIL,P & A Oil,EXPLORATION, NO,2008-05-28,2008-08-30,,1179-L,1/3-11 (Ipswich),YES,140.0,inline 9958 & crossline 21324 på settet VGCN0401,20.3,42.0,3507.0,3595.0,72.0,,PALEOCENE           ,EKOFISK FM          ,NORTH SEA,NORWAY,MÆRSK GUARDIAN,JACK-UP 3 LEGS,MOVEABLE,NST2001,NO,2008,2008,,,,FORTIES FM,PALEOCENE,,,                    ,                    ,95,NO,ED50,56.849575,2.720953,482979.33,6300817.06,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-08-30,2010-08-30,5806,4999216,0,292114,0,2060266.0,2019-10-03,2019-10-03,09.02.2020
1/3-12 S,1/3-12,6260,1,3,BG Norge AS,297 ,WILDCAT,WILDCAT,P & A,DRY,P & A Dry,EXPLORATION, NO,2009-12-01,2010-07-22,,1287-L,,NO,0.0,inline 9410 & crossline 19564,18.0,48.0,5868.0,5931.0,70.4,,LATE TRIASSIC       ,SKAGERRAK FM        ,NORTH SEA,NORWAY,ROWAN GORILLA VI,JACK-UP 3 LEGS,MOVEABLE,TFO2003,NO,2009,2010,,,,,,,,                    ,                    ,234,NO,ED50,56.753108,2.828781,489529.49,6290057.13,31,ED50 / UTM zone 31N,initial             ,                                        ,2011-10-03,2011-10-03,6260,0,0,375355,0,2490240.0,2019-10-03,2019-10-03,09.02.2020
1/5-1,1/5-1,237,1,5,Phillips Petroleum Company Norway,018 ,WILDCAT,WILDCAT,JUNKED,NOT APPLICABLE,Junked,EXPLORATION, NO,1973-10-12,1973-10-19,,99-L,,NO,0.0,LINE PG 56 3445  SP.32,0.0,27.0,491.0,491.0,70.0,,PLIOCENE            ,NORDLAND GP         ,NORTH SEA,NORWAY,OCEAN VIKING,SEMISUB STEEL,MOVEABLE,1-A,NO,1973,1973,,,,,,,,                    ,                    ,8,NO,ED50,56.577917,2.641111,477951.01,6270600.43,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-01-01,1975-10-19,237,0,0,296407,0,20900.0,2019-10-03,2019-10-03,09.02.2020
1/5-2,1/5-2,238,1,5,Phillips Petroleum Company Norway,018 ,WILDCAT,WILDCAT,P & A,OIL,P & A Oil,EXPLORATION, NO,1973-10-19,1974-04-15,FLYNDRE,100-L,1/5-2 Flyndre,YES,0.0,LINE PG 56 3445  SP.32,2.0,27.0,4287.0,4287.0,70.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,NORWAY,OCEAN VIKING,SEMISUB STEEL,MOVEABLE,1-A,NO,1973,1974,,,,FORTIES FM,PALEOCENE,HOD FM,CAMPANIAN,TOR FM              ,CAMPANIAN           ,179,NO,ED50,56.578219,2.641814,477994.36,6270633.9,31,ED50 / UTM zone 31N,initial             ,                                        ,2010-01-01,1976-04-15,238,43838,24635035,296407,0,20900.0,2019-10-03,2019-10-03,09.02.2020
1/5-3 S,1/5-3,3257,1,5,Conoco Norway Inc.,144 ,WILDCAT,WILDCAT,P & A,OIL,P & A Oil,EXPLORATION, NO,1998-06-10,1998-08-06,,918-L,1/5-3 S,YES,54.0,CN1/93- INLINE 1237 & X-LINE 2433,5.7,25.0,1565.0,1565.0,69.0,,MIOCENE             ,HORDALAND GP        ,NORTH SEA,NORWAY,BYFORD DOLPHIN,SEMISUB STEEL,MOVEABLE,12,NO,1998,1998,,,,NO FORMAL NAME,MIOCENE,,,                    ,                    ,57,NO,ED50,56.690144,2.615036,476419.16,6283101.44,31,ED50 / UTM zone 31N,initial             ,                                        ,2003-01-07,2000-08-06,3257,3000726,0,341331,0,21964.0,2019-10-03,2019-10-03,09.02.2020
1/5-4 S,1/5-4,4521,1,5,Amerada Hess Norge AS,144 ,WILDCAT,WILDCAT,P & A,OIL SHOWS,P & A Oil Shows,EXPLORATION, NO,2002-04-15,2002-05-22,,1034-L,,NO,120.0,Il:1135 CL:2172,55.4,23.0,2590.0,3090.0,69.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,NORWAY,DEEPSEA BERGEN,SEMISUB STEEL,MOVEABLE,12,NO,2002,2002,,,,,,,,                    ,                    ,38,NO,ED50,56.708889,2.628056,477227.98,6285183.54,31,ED50 / UTM zone 31N,initial             ,                                        ,2004-06-29,2004-05-22,4521,0,0,287983,0,21964.0,2019-10-03,2019-10-03,09.02.2020
1/5-5,1/5-5,7874,1,5,Total E&P Norge AS,618 ,WILDCAT,WILDCAT,P & A,DRY,P & A Dry,EXPLORATION, NO,2016-02-24,2016-09-16,,1608-L,,NO,197.0,Crossline 19180 in Q30_CNS_marge_3,4.0,48.0,5940.0,5942.0,70.0,,                    ,BRYNE FM            ,NORTH SEA,NORWAY,MÆRSK GALLANT,JACK-UP 3 LEGS,MOVEABLE,TFO2011,NO,2016,2016,,,,,,,,                    ,                    ,206,NO,ED50,56.730006,2.645811,478327.19,6287528.37,31,ED50 / UTM zone 31N,initial             ,                                        ,2018-09-16,2018-09-16,7874,0,0,296002,0,21561689.0,2019-10-03,2019-10-03,09.02.2020
1/6-1,1/6-1,239,1,6,A/S Norske Shell,011 ,WILDCAT,WILDCAT,P & A,GAS/CONDENSATE,P & A Gas Condensate,EXPLORATION, NO,1972-07-10,1972-11-26,ALBUSKJELL,75-L,1/6-1 Albuskjell,YES,166.0, ,0.0,34.0,,4822.0,69.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,NORWAY,ZAPATA NORDIC,JACK-UP 3 LEGS,MOVEABLE,1-A,NO,1972,1972,,,,EKOFISK FM,PALEOCENE,TOR FM,LATE CRETACEOUS,                    ,                    ,140,NO,ED50,56.634,2.997306,499834.71,6276785.58,31,ED50 / UTM zone 31N,initial             ,                                        ,2007-04-02,1974-11-26,239,43844,43437,288928,0,20844.0,2019-10-03,2019-10-03,09.02.2020
1/6-2,1/6-2,240,1,6,A/S Norske Shell,011 ,WILDCAT,WILDCAT,P & A,SHOWS,P & A Shows,EXPLORATION, NO,1972-11-28,1973-01-12,,78-L,,NO,70.0, ,0.0,36.0,,3383.0,69.0,,LATE CRETACEOUS     ,HOD FM              ,NORTH SEA,NORWAY,ZAPATA NORDIC,JACK-UP 3 LEGS,MOVEABLE,1-A,NO,1972,1973,,,,,,,,                    ,                    ,46,NO,ED50,56.564056,2.864778,491689.32,6269008.06,31,ED50 / UTM zone 31N,initial             ,                                        ,2011-06-15,1975-01-12,240,0,0,288928,0,20844.0,2019-10-03,2019-10-03,09.02.2020
1/6-3,1/6-3,241,1,6,A/S Norske Shell,011 ,APPRAISAL,APPRAISAL,P & A,GAS/CONDENSATE,P & A Gas Condensate,EXPLORATION, NO,1974-04-12,1974-09-11,ALBUSKJELL,105-L,1/6-1 Albuskjell,NO,140.0,LINE SI-6 ABs    SP.70-7,0.0,34.0,,3343.0,69.0,,LATE CRETACEOUS     ,TOR FM              ,NORTH SEA,NORWAY,ZAPATA NORDIC,JACK-UP 3 LEGS,MOVEABLE,1-A,NO,1974,1974,,,,EKOFISK FM,PALEOCENE,TOR FM,LATE CRETACEOUS,                    ,                    ,143,NO,ED50,56.643444,2.930472,495735.82,6277839.03,31,ED50 / UTM zone 31N,initial             ,                                        ,2007-04-02,1976-09-11,241,43844,43437,288928,0,20844.0,2019-10-03,2019-10-03,09.02.2020
1/6-4,1/6-4,242,1,6,A/S Norske Shell,011 ,WILDCAT,WILDCAT,P & A,DRY,P & A Dry,EXPLORATION, NO,1975-12-29,1976-04-09,,144-L,,NO,133.0,LINE 002425   SP.6977,0.0,33.0,,3810.0,72.0,,LATE CRETACEOUS     ,TOR FM              ,NORTH SEA,NORWAY,CHRIS CHENERY,SEMISUB STEEL,MOVEABLE,1-A,NO,1975,1976,,,,,,,,                    ,                    ,103,NO,ED50,56.747794,2.706567,482053.29,6289490.96,31,ED50 / UTM zone 31N,initial             ,                                        ,2011-06-15,1978-04-09,242,0,0,288145,0,20844.0,2019-10-03,2019-10-03,09.02.2020
1/6-5,1/6-5,1508,1,6,Conoco Norway Inc.,144 ,WILDCAT,WILDCAT,P & A,SHOWS,P & A Shows,EXPLORATION, NO,1990-07-20,1990-09-02,,645-L,,NO,104.0,CNI/88 - 36 & SP. 590,1.7,25.0,1854.0,1854.0,70.0,,LATE PERMIAN        ,ZECHSTEIN GP        ,NORTH SEA,NORWAY,DYVI STENA,SEMISUB STEEL,MOVEABLE,12,NO,1990,1990,,,,,,,,                    ,                    ,45,NO,ED50,56.539325,2.801325,487781.59,6266264.75,31,ED50 / UTM zone 31N,initial             ,                                        ,2011-06-15,1992-09-02,1508,0,0,290980,0,21964.0,2019-10-03,2019-10-03,09.02.2020
