Wellbore,Title,Document URL
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Compte_rendu_de_mission_dechantillonnage (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Compte_rendu_de_mission_dechantillonnage.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Core_description (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Core_description.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Core_report (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Core_report.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Description_of_core_and_sidewall_core_samples (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Description_of_core_and_sidewall_core_samples.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Description_of_the_cored_interval_of_the_upper_jurassic_sandstones (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Description_of_the_cored_interval_of_the_upper_jurassic_sandstones.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Discovery_annual_report (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Discovery_annual_report.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Etude_sedimentologique_et_mineralogique_des_carottes (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Etude_sedimentologique_et_mineralogique_des_carottes.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Geological_completion_report (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Geological_completion_report.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Laboratory_study_of_the_permian_to_danian_series (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Laboratory_study_of_the_permian_to_danian_series.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Preliminary_evaluation (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Preliminary_evaluation.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Survey-DST-1B (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Survey-DST-1B.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Survey-DST-2 (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Survey-DST-2.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Survey-DST-3A (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Survey-DST-3A.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Survey-DST-3B (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Survey-DST-3B.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Test_data_summary-DST-1A (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_summary-DST-1A.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Test_data_Summary-DST-1B (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_Summary-DST-1B.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Test_data_Summary-DST-2 (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_Summary-DST-2.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Test_data_summary-DST-3 (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_summary-DST-3.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_test_data_summary-DST-No-2 (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_test_data_summary-DST-No-2.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_test_data_summary_DST-3 (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_test_data_summary_DST-3.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Test_data_Summary_DST-no-3B (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_Summary_DST-no-3B.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Pressure_Variations_in_Late_jurassic_Sandstones (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Pressure_Variations_in_Late_jurassic_Sandstones.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Reservoir_Evaluation_Report (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Reservoir_Evaluation_Report.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Side_wall_cores_description (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Side_wall_cores_description.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Test_report_Chronological_order (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Test_report_Chronological_order.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Thermodynamic_Study_and_Physical_Properties (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Thermodynamic_Study_and_Physical_Properties.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Water_Samples-DST-1 (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Water_Samples-DST-1.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Water_Samples-DST-2-DST-3A (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Water_Samples-DST-2-DST-3A.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Water_Samples (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Water_Samples.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Water_Samples_UP_Chamber (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Water_Samples_UP_Chamber.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Well_Logging_Study_of_Upper_Jurassic_Formation (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Well_Logging_Study_of_Upper_Jurassic_Formation.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Well_Testing_Report (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Well_Testing_Report.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Well_Testing_Report_2 (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Well_Testing_Report_2.pdf
1/3-3,1/3-3 REPORTED BY LICENSEE: 87_01_1_3_3_Well_Testing_Report_3 (pdf),https://factpages.npd.no/pbl/wellbore_documents/87_01_1_3_3_Well_Testing_Report_3.pdf
1/3-4,1/3-4 GEOCHEMICAL INFORMATION: 2_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/2_1.pdf
1/3-4,1/3-4 OLD NPD WDSS: 2_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/2_01_WDSS_General_Information.pdf
1/3-4,1/3-4 OLD NPD WDSS: 2_02_WDSS_completion_log (pdf),https://factpages.npd.no/pbl/wdss_old/2_02_WDSS_completion_log.pdf
1/3-4,1/3-4 PRESSURE PLOT: 2_Formation_pressure_(Formasjonstrykk) (pdf),https://factpages.npd.no/pbl/wellbore_pressure_plot_pdfs/2_Formation_pressure_(Formasjonstrykk).pdf
1/3-4,1/3-4 REPORTED BY LICENSEE: 2_01_1_3_4_Completion_log (pdf),https://factpages.npd.no/pbl/wellbore_documents/2_01_1_3_4_Completion_log.pdf
1/3-4,1/3-4 REPORTED BY LICENSEE: 2_01_1_3_4_Completion_Report (pdf),https://factpages.npd.no/pbl/wellbore_documents/2_01_1_3_4_Completion_Report.pdf
1/3-4,1/3-4 REPORTED BY LICENSEE: 2_01_1_3_4_Study_of_Calcareous_nannofossils (pdf),https://factpages.npd.no/pbl/wellbore_documents/2_01_1_3_4_Study_of_Calcareous_nannofossils.pdf
1/3-5,1/3-5 COMPOSITE LOG: 223 (pdf),https://factpages.npd.no/pbl/wellbore_composite_logs/223.pdf
1/3-5,1/3-5 OLD NPD WDSS: 223_01_WDSS_General_Information (pdf),https://factpages.npd.no/pbl/wdss_old/223_01_WDSS_General_Information.pdf
1/3-5,1/3-5 OLD NPD WDSS: 223_02_WDSS_completion_log (pdf),https://factpages.npd.no/pbl/wdss_old/223_02_WDSS_completion_log.pdf
1/3-5,1/3-5 PRESSURE PLOT: 223_Formation_pressure_(Formasjonstrykk) (pdf),https://factpages.npd.no/pbl/wellbore_pressure_plot_pdfs/223_Formation_pressure_(Formasjonstrykk).pdf
1/3-5,1/3-5 REPORTED BY LICENSEE: 223_01_1_3_5_Well_Resume (pdf),https://factpages.npd.no/pbl/wellbore_documents/223_01_1_3_5_Well_Resume.pdf
1/3-5,1/3-5 REPORTED BY LICENSEE: 223_02_1_3_5_Completion_log (pdf),https://factpages.npd.no/pbl/wellbore_documents/223_02_1_3_5_Completion_log.pdf
1/3-6,1/3-6 GEOCHEMICAL INFORMATION: 1521_1 (pdf),https://factpages.npd.no/pbl/geochemical_pdfs/1521_1.pdf
